# TestName Variant NumThreads   MinTime MedianTime MaxTime  Productivity1 Productivity2 Productivity3
#    
# Sat Mar  3 21:04:59 EST 2012
# Linux hive.soic.indiana.edu 2.6.32-220.4.2.el6.x86_64 #1 SMP Mon Feb 6 16:39:28 EST 2012 x86_64 x86_64 x86_64 GNU/Linux
# Determined machine to have 64 hardware threads.
# The Glorious Glasgow Haskell Compilation System, version 7.4.1
# 
# Running each test for 1 trial(s).
#  ... with compiler options: -O2 -rtsopts
#  ... with runtime options: -s -qa -qb -qg
# Benchmarks_File: benchlist_server.txt
# Benchmarks_Variant: server
# Benchmarks_Version: 1.0
# Git_Branch: meta
# Git_Hash: c89e95e55a21a634657902d3f5999176e0cbcd7a
# Git_Depth: 384
# Using the following settings from environment variables:
#  ENV BENCHLIST=benchlist_server.txt
#  ENV THREADS=   32
#  ENV TRIALS=    
#  ENV SHORTRUN=  
#  ENV SCHEDS=    Trace Direct SMP NUMA
#  ENV KEEPGOING= 1
#  ENV GHC=       
#  ENV GHC_FLAGS= 
#  ENV GHC_RTS=   -s -qa -qb -qg
#  ENV ENVS=      [[("NUMA_TOPOLOGY","[[0,1,2,3,4,5,6,7],[8,9,10,11,12,13,14,15],[16,17,18,19,20,21,22,23],[24,25,26,27,28,29,30,31]]")]]
parfib_monad                        monad_38             Trace   32      ERR ERR ERR   
parfib_monad                        monad_38             Direct  32   6.33 6.33 6.33   95.0 95.0 95.0
parfib_monad                        monad_38             SMP     32   6.43 6.43 6.43   91.2 91.2 91.2
parfib_monad                        monad_38             NUMA    32   6.22 6.22 6.22   93.2 93.2 93.2
blackscholes                        10000_30000000       Trace   32   1.34 1.34 1.34   99.6 99.6 99.6
blackscholes                        10000_30000000       Direct  32   1.33 1.33 1.33   99.6 99.6 99.6
blackscholes                        10000_30000000       SMP     32   1.34 1.34 1.34   99.7 99.7 99.7
blackscholes                        10000_30000000       NUMA    32   1.33 1.33 1.33   99.7 99.7 99.7
nbody                               25000                Trace   32   2.22 2.22 2.22   99.6 99.6 99.6
nbody                               25000                Direct  32   0.91 0.91 0.91   99.7 99.7 99.7
nbody                               25000                SMP     32   0.93 0.93 0.93   99.7 99.7 99.7
nbody                               25000                NUMA    32   0.98 0.98 0.98   99.7 99.7 99.7
coins                               8_1600               Trace   32   5.02 5.02 5.02   91.3 91.3 91.3
coins                               8_1600               Direct  32   4.73 4.73 4.73   91.9 91.9 91.9
coins                               8_1600               SMP     32   5.31 5.31 5.31   93.7 93.7 93.7
coins                               8_1600               NUMA    32   4.71 4.71 4.71   93.3 93.3 93.3
sumeuler/sumeuler                   38_16000_100         Trace   32   2.11 2.11 2.11   98.5 98.5 98.5
sumeuler/sumeuler                   38_16000_100         Direct  32   1.34 1.34 1.34   98.7 98.7 98.7
sumeuler/sumeuler                   38_16000_100         SMP     32   1.16 1.16 1.16   99.2 99.2 99.2
sumeuler/sumeuler                   38_16000_100         NUMA    32   1.16 1.16 1.16   99.4 99.4 99.4
matmult/MatMult                     1024_0_64            Trace   32   6.80 6.80 6.80   92.1 92.1 92.1
matmult/MatMult                     1024_0_64            Direct  32   4.83 4.83 4.83   94.6 94.6 94.6
matmult/MatMult                     1024_0_64            SMP     32   5.38 5.38 5.38   95.2 95.2 95.2
matmult/MatMult                     1024_0_64            NUMA    32   7.96 7.96 7.96   91.2 91.2 91.2
partree/partree                     600_20               Trace   32   0.12 0.12 0.12   75.7 75.7 75.7
partree/partree                     600_20               Direct  32   0.14 0.14 0.14   96.9 96.9 96.9
partree/partree                     600_20               SMP     32   0.52 0.52 0.52   99.5 99.5 99.5
partree/partree                     600_20               NUMA    32   0.38 0.38 0.38   98.0 98.0 98.0
